config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,total_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
rq-simple-redis,rq,redis-simple,cpu_small,1000,2,2,0.428,2334.1,27.924,35.8,13801.7,26122.5,27235.3,13755.1,2
rq-simple-redis,rq,redis-simple,cpu_small,1000,2,3,0.434,2305.2,27.74,36.0,13676.2,25831.3,27046.1,13628.7,2
rq-simple-redis,rq,redis-simple,cpu_small,1000,4,1,0.522,1916.6,15.633,64.0,7691.2,14433.4,14985.8,7633.3,4
rq-simple-redis,rq,redis-simple,cpu_small,1000,4,2,0.468,2136.8,15.653,63.9,7731.4,14442.3,15022.5,7675.6,4
rq-simple-redis,rq,redis-simple,cpu_small,1000,4,3,0.477,2095.3,15.212,65.7,7336.5,14034.7,14613.4,7278.6,4
rq-simple-redis,rq,redis-simple,io_sleep,1000,1,1,0.413,2419.1,63.753,15.7,31496.6,60187.1,62683.4,31446.3,1
rq-simple-redis,rq,redis-simple,io_sleep,1000,1,2,0.428,2336.9,63.337,15.8,31405.2,59824.0,62249.1,31354.9,1
rq-simple-redis,rq,redis-simple,io_sleep,1000,1,3,0.415,2407.0,63.579,15.7,31387.8,60136.0,62584.4,31337.7,1
rq-simple-redis,rq,redis-simple,io_sleep,1000,2,1,0.433,2308.2,31.649,31.6,15446.3,29585.5,30900.8,15395.9,2
rq-simple-redis,rq,redis-simple,io_sleep,1000,2,2,0.405,2468.7,31.591,31.7,15679.5,29663.0,30855.9,15629.3,2
rq-simple-redis,rq,redis-simple,io_sleep,1000,2,3,0.435,2297.0,31.415,31.8,15446.7,29445.6,30673.3,15396.6,2
rq-simple-redis,rq,redis-simple,io_sleep,1000,4,1,0.435,2300.4,15.45,64.7,7521.1,14277.3,14888.4,7470.9,4
rq-simple-redis,rq,redis-simple,io_sleep,1000,4,2,0.447,2234.8,15.466,64.7,7511.9,14259.2,14897.6,7461.7,4
rq-simple-redis,rq,redis-simple,io_sleep,1000,4,3,0.406,2460.3,15.495,64.5,7595.7,14333.6,14958.5,7545.5,4
