config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,drain_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
rq-simple-redis,rq,redis-simple,noop,5000,4,1,1.923,2600.8,5.33,938.1,3.67,3.96,4.33,3.67,4
rq-simple-redis,rq,redis-simple,noop,5000,4,2,1.964,2545.2,5.211,959.6,3.49,4.35,4.48,3.49,4
rq-simple-redis,rq,redis-simple,noop,5000,4,3,2.156,2319.0,5.327,938.6,3.55,4.35,4.4,3.55,4
rq-simple-redis,rq,redis-simple,cpu_small,1000,1,1,0.402,2490.5,53.103,18.8,51.48,65.85,94.66,4.56,1
rq-simple-redis,rq,redis-simple,cpu_small,1000,1,2,0.396,2522.9,53.04,18.9,51.37,56.74,94.5,4.64,1
rq-simple-redis,rq,redis-simple,cpu_small,1000,1,3,0.388,2577.4,53.089,18.8,51.09,57.65,96.28,4.57,1
rq-simple-redis,rq,redis-simple,cpu_small,1000,2,1,0.556,1799.7,27.954,35.8,51.6,53.79,56.78,4.74,2
rq-simple-redis,rq,redis-simple,cpu_small,1000,2,2,0.414,2413.4,27.746,36.0,51.87,92.84,101.48,4.69,2
rq-simple-redis,rq,redis-simple,cpu_small,1000,2,3,0.402,2484.6,27.781,36.0,54.01,66.58,83.89,4.95,2
rq-simple-redis,rq,redis-simple,cpu_small,1000,4,1,0.417,2397.1,15.337,65.2,50.87,63.41,63.94,4.72,4
rq-simple-redis,rq,redis-simple,cpu_small,1000,4,2,0.406,2464.8,15.332,65.2,52.44,91.19,92.48,4.74,4
rq-simple-redis,rq,redis-simple,cpu_small,1000,4,3,0.389,2570.4,15.539,64.4,51.01,57.84,92.78,4.59,4
rq-simple-redis,rq,redis-simple,io_sleep,1000,1,1,0.424,2357.5,63.445,15.8,57.84,60.51,60.7,7.63,1
rq-simple-redis,rq,redis-simple,io_sleep,1000,1,2,0.411,2432.3,63.436,15.8,58.67,62.23,62.81,8.47,1
rq-simple-redis,rq,redis-simple,io_sleep,1000,1,3,0.426,2348.0,63.601,15.7,58.86,62.66,62.89,8.68,1
rq-simple-redis,rq,redis-simple,io_sleep,1000,2,1,0.406,2462.9,31.724,31.5,57.26,62.11,62.64,7.2,2
rq-simple-redis,rq,redis-simple,io_sleep,1000,2,2,0.383,2612.9,31.575,31.7,58.16,61.33,61.46,8.01,2
rq-simple-redis,rq,redis-simple,io_sleep,1000,2,3,0.395,2530.5,31.417,31.8,57.94,60.98,61.06,7.72,2
rq-simple-redis,rq,redis-simple,io_sleep,1000,4,1,0.404,2474.2,15.507,64.5,58.48,63.54,64.1,8.31,4
rq-simple-redis,rq,redis-simple,io_sleep,1000,4,2,0.403,2482.8,15.555,64.3,57.76,61.11,61.85,7.56,4
rq-simple-redis,rq,redis-simple,io_sleep,1000,4,3,0.385,2600.3,15.329,65.2,56.72,60.51,61.58,6.53,4
